Id,Attributes,
APP\TEN\013169, black,  Application
APP\TEN\005284, black,  Application
APP\PREMISES-NEW\001627, black,  Application
APP\TEN\004422, black,  Application
APP\TEN\002498, black,  Application
APP\TEN\006719, black,  Application
APP\LATE-TEN\001822, black,  Application
APP\PREMISES-VARYDPS\001942, black,  Application
APP\PREMISES-CONV\000515, black,  Application
APP\LATE-TEN\001550, black,  Application
APP\TEN\011728, black,  Application
JW3, blue,  Premise
APP\PREMISES-TRANS\000042, black,  Application
APP\PREMISES-CONV\000521, black,  Application
42481, black,  Application
CV Hair & Beauty, blue,  Premise
2012/1530/TC, black,  Application
APP\PREMISES-VARYDPS\004351, black,  Application
APP\PERSONAL-NEW\000248, black,  Application
APP\PERSONAL-NEW\000575, black,  Application
APP\PERSONAL-NEW\000290, black,  Application
APP\TEN\010932, black,  Application
NOI\00168, black,  Application
APP\TEN\002366, black,  Application
APP\PERSONAL-CONV\000589, black,  Application
APP\PREMISES-VARYDPS\002581, black,  Application
APP\PREMISES-VARYDPS\002385, black,  Application
2015/5920/TC, black,  Application
APP\PREMISES-NEW\000107, black,  Application
APP\TEN\006728, black,  Application
APP\TEN\009286, black,  Application
APP\PREMISES-TRANS\000324, black,  Application
APP\TEN\003800, black,  Application
APP\PREMISES-VARY(T)\000524, black,  Application
APP\LATE-TEN\001723, black,  Application
46833, black,  Application
APP\TEN\009127, black,  Application
APP\TEN\008273, black,  Application
"Pimms Garden, outside 28-30", blue,  Premise
APP\PREMISES-TRANS\000924, black,  Application
APP\PREMISES-VARYDPS\004270, black,  Application
APP\PREMISES-VARYDPS\000247, black,  Application
6-8 Stable Street, blue,  Premise
APP\LATE-TEN\001162, black,  Application
APP\PREMISES-NEW\001446, black,  Application
APP\PREMISES-TRANS\001480, black,  Application
APP\PERSONAL-CONV\000119, black,  Application
APP\TEN\005287, black,  Application
APP\PREMISES-VARYDPS\002043, black,  Application
APP\PREMISES-VARY(T)\000333, black,  Application
2009/5244/TC, black,  Application
APP\PERSONAL-NEW\001896, black,  Application
APP\PREMISES-VARY\000576, black,  Application
APP\LATE-TEN\000390, black,  Application
APP\TEN\004838, black,  Application
APP\TEN\002431, black,  Application
APP\PREMISES-TRANS\000174, black,  Application
APP\PERSONAL-ADD\000563, black,  Application
Roka & Sho Chu, blue,  Premise
APP\PERSONAL-NEW\002051, black,  Application
NOI\00143, black,  Application
APP\PERSONAL-CONV\000538, black,  Application
APP\PERSONAL-CONV\000955, black,  Application
APP\PREMISES-VARYDPS\002183, black,  Application
Green Cottage Restaurant, blue,  Premise
APP\PREMISES-VARY\000824, black,  Application
APP\TEN\000374, black,  Application
2012/6281/TC, black,  Application
APP\PREMISES-VARYDPS\002814, black,  Application
NOI\00392, black,  Application
APP\PREMISES-CONV\000694, black,  Application
APP\TEN\002944, black,  Application
2014/4897/TC, black,  Application
APP\PREMISES-MVARY\00280, black,  Application
APP\LATE-TEN\000594, black,  Application
APP\TEN\002693, black,  Application
